,Date,Open,High,Low,Close,Volume,20-day MA,20-day Volatility,Signal
342,2023-11-21T00:00:00+05:30,402.6,402.6,400.05,400.65,2720124,385.69,7.054666242245588,Sell
343,2023-11-22T00:00:00+05:30,402.5,402.6,399.1,400.25,2659291,386.61,7.697976494200871,Sell
344,2023-11-23T00:00:00+05:30,400.5,405.0,400.5,402.5,4838680,387.8225,8.204996471983971,Sell
345,2023-11-24T00:00:00+05:30,402.5,403.5,395.55,396.0,3125283,388.505,8.29306780897256,Sell
346,2023-11-28T00:00:00+05:30,397.0,398.75,393.1,396.85,4072657,389.2475,8.344624412096328,Sell
347,2023-11-29T00:00:00+05:30,398.0,408.55,398.0,406.25,7772043,390.47,8.964115596145529,Sell
348,2023-11-30T00:00:00+05:30,406.95,414.5,404.05,413.05,9912979,392.075,9.985403821262883,Buy
349,2023-12-01T00:00:00+05:30,413.75,413.75,406.5,407.65,4915213,393.275,10.354906032764168,Buy
350,2023-12-04T00:00:00+05:30,412.7,413.0,406.75,407.45,5331236,394.46999999999997,10.550759513693647,Buy
351,2023-12-05T00:00:00+05:30,407.4,409.0,402.1,404.35,5582684,395.45500000000004,10.505210486631325,Buy
352,2023-12-06T00:00:00+05:30,406.75,420.4,405.95,418.75,11041035,397.2275,11.306512736611847,Buy
353,2023-12-07T00:00:00+05:30,420.0,421.5,416.65,418.25,5625276,399.03000000000003,11.652980192570029,Buy
354,2023-12-08T00:00:00+05:30,418.8,424.5,415.0,422.6,7739561,401.11749999999995,11.960299184341343,Buy
355,2023-12-11T00:00:00+05:30,420.0,422.2,417.25,420.6,5042121,403.1825,11.55355123122934,Buy
356,2023-12-12T00:00:00+05:30,420.7,427.9,420.15,422.2,5951682,405.16999999999996,11.213319148039945,Buy
357,2023-12-13T00:00:00+05:30,423.55,424.3,415.0,419.65,4848408,407.07000000000005,10.191100348627696,Buy
358,2023-12-14T00:00:00+05:30,423.5,436.0,423.25,434.4,12340688,409.2075,11.218139387429611,Buy
359,2023-12-15T00:00:00+05:30,436.05,449.5,433.5,446.55,20783617,411.68,13.604743754719866,Buy
360,2023-12-18T00:00:00+05:30,446.0,453.5,442.0,445.25,10091036,414.17249999999996,14.963723458312513,Buy
361,2023-12-19T00:00:00+05:30,445.6,447.35,435.0,438.7,8032347,416.09749999999997,15.53705651016337,Buy
362,2023-12-20T00:00:00+05:30,442.0,449.5,429.35,431.95,13224971,417.6625,15.47543788173985,Buy
